D_A_ms,D_R_ms,D_ms,ack_med_ms,clrt_max_ms,clrt_med_ms,clrt_min_ms,clrt_q1_ms,clrt_q3_ms,max_ms,median_ms,min_ms,n,panel,point,q1_ms,q3_ms,rt_med_ms,series,x_ms,y_fraction_exceeding
,,,,,,,,,,,,,a,,,,,READ,1.014,1.0
,,,,,,,,,,,,,a,,,,,READ,1.089,0.975
,,,,,,,,,,,,,a,,,,,READ,1.093,0.95
,,,,,,,,,,,,,a,,,,,READ,1.095,0.925
,,,,,,,,,,,,,a,,,,,READ,1.098,0.9
,,,,,,,,,,,,,a,,,,,READ,1.1,0.875
,,,,,,,,,,,,,a,,,,,READ,1.102,0.85
,,,,,,,,,,,,,a,,,,,READ,1.105,0.825
,,,,,,,,,,,,,a,,,,,READ,1.109,0.8
,,,,,,,,,,,,,a,,,,,READ,1.117,0.775
,,,,,,,,,,,,,a,,,,,READ,1.138,0.75
,,,,,,,,,,,,,a,,,,,READ,1.153,0.725
,,,,,,,,,,,,,a,,,,,READ,1.165,0.7
,,,,,,,,,,,,,a,,,,,READ,1.171,0.675
,,,,,,,,,,,,,a,,,,,READ,1.183,0.65
,,,,,,,,,,,,,a,,,,,READ,1.25,0.625
,,,,,,,,,,,,,a,,,,,READ,1.597,0.6
,,,,,,,,,,,,,a,,,,,READ,2.064,0.575
,,,,,,,,,,,,,a,,,,,READ,2.081,0.55
,,,,,,,,,,,,,a,,,,,READ,2.103,0.525
,,,,,,,,,,,,,a,,,,,READ,2.116,0.5
,,,,,,,,,,,,,a,,,,,READ,2.135,0.475
,,,,,,,,,,,,,a,,,,,READ,2.161,0.45
,,,,,,,,,,,,,a,,,,,READ,2.19,0.425
,,,,,,,,,,,,,a,,,,,READ,2.262,0.4
,,,,,,,,,,,,,a,,,,,READ,2.581,0.375
,,,,,,,,,,,,,a,,,,,READ,3.059,0.35
,,,,,,,,,,,,,a,,,,,READ,3.623,0.325
,,,,,,,,,,,,,a,,,,,READ,3.817,0.3
,,,,,,,,,,,,,a,,,,,READ,3.877,0.275
,,,,,,,,,,,,,a,,,,,READ,3.916,0.25
,,,,,,,,,,,,,a,,,,,READ,3.944,0.225
,,,,,,,,,,,,,a,,,,,READ,3.973,0.2
,,,,,,,,,,,,,a,,,,,READ,4.006,0.175
,,,,,,,,,,,,,a,,,,,READ,4.046,0.15
,,,,,,,,,,,,,a,,,,,READ,4.105,0.125
,,,,,,,,,,,,,a,,,,,READ,4.31,0.1
,,,,,,,,,,,,,a,,,,,READ,5.282,0.075
,,,,,,,,,,,,,a,,,,,READ,6.541,0.05
,,,,,,,,,,,,,a,,,,,READ,9.045,0.025
,,,,,,,,,,,,,a,,,,,SELECT,0.97,1.0
,,,,,,,,,,,,,a,,,,,SELECT,1.024,0.975
,,,,,,,,,,,,,a,,,,,SELECT,1.029,0.95
,,,,,,,,,,,,,a,,,,,SELECT,1.032,0.925
,,,,,,,,,,,,,a,,,,,SELECT,1.034,0.9
,,,,,,,,,,,,,a,,,,,SELECT,1.036,0.875
,,,,,,,,,,,,,a,,,,,SELECT,1.038,0.85
,,,,,,,,,,,,,a,,,,,SELECT,1.04,0.825
,,,,,,,,,,,,,a,,,,,SELECT,1.043,0.8
,,,,,,,,,,,,,a,,,,,SELECT,1.049,0.775
,,,,,,,,,,,,,a,,,,,SELECT,1.056,0.75
,,,,,,,,,,,,,a,,,,,SELECT,1.089,0.725
,,,,,,,,,,,,,a,,,,,SELECT,1.101,0.7
,,,,,,,,,,,,,a,,,,,SELECT,1.105,0.675
,,,,,,,,,,,,,a,,,,,SELECT,1.108,0.65
,,,,,,,,,,,,,a,,,,,SELECT,1.112,0.625
,,,,,,,,,,,,,a,,,,,SELECT,1.169,0.6
,,,,,,,,,,,,,a,,,,,SELECT,1.479,0.575
,,,,,,,,,,,,,a,,,,,SELECT,2.005,0.55
,,,,,,,,,,,,,a,,,,,SELECT,2.032,0.525
,,,,,,,,,,,,,a,,,,,SELECT,2.05,0.5
,,,,,,,,,,,,,a,,,,,SELECT,2.072,0.475
,,,,,,,,,,,,,a,,,,,SELECT,2.094,0.45
,,,,,,,,,,,,,a,,,,,SELECT,2.124,0.425
,,,,,,,,,,,,,a,,,,,SELECT,2.226,0.4
,,,,,,,,,,,,,a,,,,,SELECT,2.636,0.375
,,,,,,,,,,,,,a,,,,,SELECT,2.917,0.35
,,,,,,,,,,,,,a,,,,,SELECT,3.619,0.325
,,,,,,,,,,,,,a,,,,,SELECT,3.677,0.3
,,,,,,,,,,,,,a,,,,,SELECT,3.728,0.275
,,,,,,,,,,,,,a,,,,,SELECT,3.753,0.25
,,,,,,,,,,,,,a,,,,,SELECT,3.78,0.225
,,,,,,,,,,,,,a,,,,,SELECT,3.803,0.2
,,,,,,,,,,,,,a,,,,,SELECT,3.832,0.175
,,,,,,,,,,,,,a,,,,,SELECT,3.873,0.15
,,,,,,,,,,,,,a,,,,,SELECT,3.925,0.125
,,,,,,,,,,,,,a,,,,,SELECT,4.186,0.1
,,,,,,,,,,,,,a,,,,,SELECT,5.208,0.075
,,,,,,,,,,,,,a,,,,,SELECT,6.331,0.05
,,,,,,,,,,,,,a,,,,,SELECT,8.799,0.025
23.0,1.0,24.0,,1.0431,0.9981,0.9239,0.9959,1.0009,,,,300,b,sw_D4_23_1,,,25.3366,fixed_total_budget,,
22.0,2.0,24.0,,2.048,1.9987,1.924,1.996,2.0013,,,,300,b,sw_D4_22_2,,,25.3243,fixed_total_budget,,
20.0,4.0,24.0,,4.0271,3.999,3.9749,3.997,4.0028,,,,200,b,sw_D4_20_4,,,25.3186,fixed_total_budget,,
16.0,8.0,24.0,,9.1627,8.0011,7.9298,7.9988,8.0039,,,,200,b,sw_D4_16_8,,,25.3036,fixed_total_budget,,
12.0,12.0,24.0,,12.073,12.001,11.9691,11.9979,12.0037,,,,200,b,sw_D4_12_12,,,25.3127,fixed_total_budget,,
8.0,16.0,24.0,,43.4811,16.0,15.9309,15.9971,16.0031,,,,300,b,sw_D4_08_16,,,25.3264,fixed_total_budget,,
4.0,20.0,24.0,,41.882,20.0009,19.9738,19.9981,20.004,,,,300,b,sw_D4_04_20,,,25.3284,fixed_total_budget,,
2.0,22.0,24.0,,22.8422,22.0013,21.9531,21.9989,22.0041,,,,300,b,sw_D4_02_22,,,25.3272,fixed_total_budget,,
4.0,4.0,8.0,4.576,,3.9999,,,,,,,200,c,sw_D4_04_4,,,,D_A_ramp,,
12.0,4.0,16.0,12.99,,3.9999,,,,,,,200,c,sw_D4_12_4,,,,D_A_ramp,,
20.0,4.0,24.0,21.3182,,3.999,,,,,,,200,c,sw_D4_20_4,,,,D_A_ramp,,
28.0,4.0,32.0,29.48,,3.999,,,,,,,200,c,sw_D4_28_4,,,,D_A_ramp,,
